"Country","Country"
"Phone Number","Phone Number"
"Email Address","Email Address"
"First Name and Last Name of Contact Person","First Name and Last Name of Contact Person"
"Bank Data","Bank Data"
"Bank data as required for cash on delivery payments","Bank data as required for cash on delivery payments"
"Account Owner","Account Owner"
"Bank Name","Bank Name"
"IBAN","IBAN"
"BIC","BIC"
"Reason for Payment","Reason for Payment"
"Reason for Payment (2)","Reason for Payment (2)"
"Account Referece to Customer Profile","Account Referece to Customer Profile"
"Placeholders: %orderId%, %customerId%", "Placeholders: %orderId%, %customerId%"
"Return Shipment","Return Shipment"
"Use Shipper as Receiver","Use Shipper as Receiver"
"Name of Receiver","Name of Receiver"
"DHL Additional Services","DHL Additional Services"
"E.g. garage, terrace","E.g. garage, terrace"
"name, street and house number","name, street and house number"
"Cannot do partial shipment with COD or Additional Insurance.", "Cannot do partial shipment with COD or Additional Insurance."
"Customs Declaration","Customs Declaration"
"Terms of Trade","Terms of Trade"
"Additional Fee","Additional Fee"
"Place of Commital","Place of Commital"
"Permit Number","Permit Number"
"Attestation Number","Attestation Number"
"Electronic Export Notification","Electronic Export Notification"
"Customs Description","Customs Description"
"Country of Origin","Country of Origin"
"Tariff Number","Tariff Number"
"Automatic Shipment Creation", "Automatic Shipment Creation"
"Enabled","Enabled"
"Create shipments and retrieve labels via cron job.","Create shipments and retrieve labels via cron job."
"Order Status","Order Status"
"Automatically create shipments for orders in the selected status.","Automatically create shipments for orders in the selected status."
"Book the service Visual Check Of Age with automated shipment orders.","Book the service Visual Check Of Age with automated shipment orders."
"Book the service Return Shipment with automated shipment orders.","Book the service Return Shipment with automated shipment orders."
"Book the service Additional Insurance with automated shipment orders.","Book the service Additional Insurance with automated shipment orders."
"Book the service Bulky Goods with automated shipment orders.","Book the service Bulky Goods with automated shipment orders."
"Post Number","Post Number"
"Packstation Number","Packstation Number"
"Post Office Number","Post Office Number"
"Parcelstation Number","Parcelstation Number"
"Thanks to the flexible recipient services of DHL Preferred Delivery, you decide when and where you want to receive your parcels.","Thanks to the flexible recipient services of DHL Preferred Delivery, you decide when and where you want to receive your parcels."
"Please choose your preferred delivery options.","Please choose your preferred delivery options."
"You may now choose, where DHL shall deposit your shipment when you are not at home.","You may now choose, where DHL shall deposit your shipment when you are not at home."
"Your DHL Wunschpaket","Your DHL Wunschpaket"
"Your shipping services","Your shipping services"
"DHL Preferred Delivery. Delivered just the way you want.","DHL Preferred Delivery. Delivered just the way you want."
"You decide when and where you want to receive your parcels with the recipient services of DHL.","You decide when and where you want to receive your parcels with the recipient services of DHL."
"Please choose your preferred delivery option:","Please choose your preferred delivery option:"
"Determine a person in your immediate neighborhood whom we can hand out your parcel. This person should live in the same building, directly opposite or next door.","Determine a person in your immediate neighborhood whom we can hand out your parcel. This person should live in the same building, directly opposite or next door."
"Choose a weather-protected and non-visible place on your property where we can deposit the parcel in your absence.","Choose a weather-protected and non-visible place on your property where we can deposit the parcel in your absence."
"Choose one of the displayed days as your preferred day for your parcel delivery. Other days are not possible due to delivery processes.","Choose one of the displayed days as your preferred day for your parcel delivery. Other days are not possible due to delivery processes."
"Indicate a preferred time, which suits you best for your parcel delivery by choosing one of the displayed time windows.","Indicate a preferred time, which suits you best for your parcel delivery by choosing one of the displayed time windows."
"Mon","Mon"
"Tue","Tue"
"Wed","Wed"
"Thu","Thu"
"Fri","Fri"
"Sat","Sat"
"Sun","Sun"
"Or choose a DHL Packstation or a branch as an alternative delivery address.","Or choose a DHL Packstation or a branch as an alternative delivery address."
"You cannot use preferred neighbor with this service.","You cannot use preferred neighbour with this service."
"You cannot use preferred location with this service.","You cannot use preferred location with this service."
"* With the preferred time service, DHL offers a nationwide evening delivery between 6-8 pm and 7-9 pm. Preferred time during the day is currently only available in major urban centers in four time windows between 10 am – 6 pm. Via the DHL shipping logistics system, you will receive information about the time windows, that will be available to your customers.","* With the preferred time service, DHL offers a nationwide evening delivery between 6-8 pm and 7-9 pm. Preferred time during the day is currently only available in major urban centers in four time windows between 10 am – 6 pm. Via the DHL shipping logistics system, you will receive information about the time windows, that will be available to your customers."
"Additional charge for your preferred day","Additional charge for your preferred day"
"Additional charge for your preferred time","Additional charge for your preferred time"
"Preferred day handling fee text","Preferred day handling fee text"
"Preferred time handling fee text","Preferred time handling fee text"
"Insert gross value for surcharge. Insert 0 to offer service for free.","Insert gross value for surcharge. Insert 0 to offer service for free."
